GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Zinkworks-Atm,com.zinkworks.enterprise.solutions.controller.impl,AccountDetailsControllerImpl,0,14,0,0,0,3,0,2,0,2
Zinkworks-Atm,com.zinkworks.enterprise.solutions.controller.impl,AccountWithdrawlControllerImpl,0,12,0,0,0,2,0,2,0,2
Zinkworks-Atm,com.zinkworks.enterprise.solutions.entity,AtmCurrencyInfo,0,38,0,0,0,17,0,11,0,11
Zinkworks-Atm,com.zinkworks.enterprise.solutions.entity,Account,3,35,0,0,1,16,1,10,1,10
Zinkworks-Atm,com.zinkworks.enterprise.solutions.exception.controller,AccountDetailsExceptionController,152,61,0,0,24,12,6,3,6,3
Zinkworks-Atm,com.zinkworks.enterprise.solutions,AtmControllerApplication,5,3,0,0,2,1,1,1,1,1
Zinkworks-Atm,com.zinkworks.enterprise.solutions.dto,AccountDetailsRequest,9,17,0,0,4,8,1,5,1,5
Zinkworks-Atm,com.zinkworks.enterprise.solutions.dto,AccountWithdrawlRequest,11,17,0,0,4,8,1,5,1,5
Zinkworks-Atm,com.zinkworks.enterprise.solutions.dto,AccountDetailsResponse,0,23,0,0,0,8,0,6,0,6
Zinkworks-Atm,com.zinkworks.enterprise.solutions.dto,AtmCurrency,9,88,2,6,1,27,2,14,0,12
Zinkworks-Atm,com.zinkworks.enterprise.solutions.dto,AccountWithdrawlResponse,85,0,0,0,24,0,17,0,17,0
Zinkworks-Atm,com.zinkworks.enterprise.solutions.configuration,SwaggerConfiguration,0,13,0,0,0,6,0,2,0,2
Zinkworks-Atm,com.zinkworks.enterprise.solutions.service.impl,AccountDetailsServiceImpl,47,106,13,9,10,24,11,7,1,6
Zinkworks-Atm,com.zinkworks.enterprise.solutions.service.impl,AtmServiceImpl,24,266,5,15,4,59,5,11,0,6
Zinkworks-Atm,com.zinkworks.enterprise.solutions.exception,AtmBalanceException,0,4,0,0,0,2,0,1,0,1
Zinkworks-Atm,com.zinkworks.enterprise.solutions.exception,AccountDetailsException,0,4,0,0,0,2,0,1,0,1
Zinkworks-Atm,com.zinkworks.enterprise.solutions.exception,AtmErrorMessage,12,24,0,0,5,11,1,7,1,7
Zinkworks-Atm,com.zinkworks.enterprise.solutions.exception,AtmException,4,0,0,0,2,0,1,0,1,0
Zinkworks-Atm,com.zinkworks.enterprise.solutions.exception,AtmValidationErrorMessage,46,0,0,0,17,0,8,0,8,0
